,returns,garch_rolling_95_t,garch_rolling_99_t,garch_rolling_95_n,garch_rolling_99_n
2006-12-27,0.6990781099262332,-0.8300575010537254,-1.2525675438622792,-0.8416137391750809,-1.2092997972583934
2006-12-28,-0.1479876542664995,-0.8464114294977837,-1.2747511343213487,-0.8580040582208815,-1.2333461689129852
2006-12-29,-0.4523302629615828,-0.8325662090333245,-1.2561040977751547,-0.8430367969969154,-1.2128589707552675
2007-01-03,-0.1199388642525353,-0.8369176121496197,-1.2617907221053046,-0.8473181406271377,-1.2187756950752042
2007-01-04,0.1227532497215299,-0.8207921775731584,-1.238676963733548,-0.8320286799088161,-1.1967840233689226
2007-01-05,-0.6103167832470129,-0.8010101913918634,-1.2110828275195986,-0.8136922007620675,-1.1711172450370921
2007-01-08,0.2217857077497428,-0.8266415796470719,-1.2456880259780911,-0.8383533589148372,-1.2051241681255889
2007-01-09,-0.0516809499364646,-0.809136129690145,-1.2232328031462836,-0.821874790077976,-1.1824192024066893
2007-01-10,0.1938471807337008,-0.7921353328969122,-1.1993046608126265,-0.8059918472091415,-1.1596490349344322
2007-01-11,0.6319861629223327,-0.7750238600212682,-1.1778456455287898,-0.7900483268439071,-1.1378548952116232
2007-01-12,0.4841427093058067,-0.7918304706254249,-1.2022584835896528,-0.8062643223868574,-1.161096327782456
2007-01-16,0.0817460872325575,-0.7941070998527826,-1.206563100262553,-0.8084314016213608,-1.1639162311827975
2007-01-17,-0.089433741840016,-0.775110397616048,-1.1826079360015358,-0.7902322326162527,-1.1389909313755606
2007-01-18,-0.2975161375757787,-0.7589311862247279,-1.1626110317065748,-0.7750385956820268,-1.118134047945864
2007-01-19,0.2891281554245473,-0.7555769815218308,-1.1597202947879928,-0.7717527783776833,-1.113773237016688
2007-01-22,-0.5291886366783456,-0.7411399936601942,-1.1402608637816256,-0.7592541453286875,-1.0966779573167946
2007-01-23,0.3535707111787036,-0.7649672302766926,-1.1720800294869311,-0.7810865321236724,-1.1264892283595362
2007-01-24,0.8465536428398069,-0.7557485432212742,-1.1589854018389603,-0.7727643342212791,-1.1146692090537922
2007-01-25,-1.133378773070705,-0.8002076632650509,-1.2222234642593293,-0.8157000228543021,-1.1762169386693124
2007-01-26,-0.1208659535429596,-0.9086225788645803,-1.380976179677618,-0.9245425654394875,-1.3288997638244493
2007-01-29,-0.1097550811566401,-0.8873755250922888,-1.3521666489656479,-0.9028012800823912,-1.2974326107694396
2007-01-30,0.5755498607645567,-0.8671327731955167,-1.3240836650854593,-0.8822981725145052,-1.2677992660974642
2007-01-31,0.6571245841597129,-0.866708119830999,-1.3216642123997462,-0.8815963332019228,-1.2671114508135035
2007-02-01,0.5339451523831852,-0.8726290683854592,-1.3291275402014513,-0.8874419002368151,-1.2761429369561181
2007-02-02,0.1693016252195719,-0.8736316691512126,-1.3327589657032746,-0.8879015876620054,-1.2764137072176174
2007-02-05,-0.0967074802488095,-0.8493538561485334,-1.2970464195097247,-0.8640880267091884,-1.2430631722765833
2007-02-06,0.0697763937016067,-0.8288726759522841,-1.266216348226986,-0.8438734819592719,-1.2144643407207558
2007-02-07,0.1394068946924395,-0.8080320292878624,-1.2406251941195994,-0.8237053592311945,-1.1865743076090052
2007-02-08,-0.1179963006150226,-0.7886564599026825,-1.2125174022984049,-0.8050781315974821,-1.1601678293041324
2007-02-09,-0.7102376113371196,-0.7746321410571788,-1.193093753263506,-0.7913854740501043,-1.1402968117782686
2007-02-12,-0.3266712097896208,-0.8130436212181522,-1.2445755262059046,-0.8286040331186602,-1.1921311157897192
2007-02-13,0.7568774732917578,-0.8072591004905658,-1.2340629072319875,-0.822549213169211,-1.183128567743631
2007-02-14,0.7615012063124971,-0.8302705467059304,-1.2656749014183388,-0.8457412151640308,-1.2168055133372038
2007-02-15,0.1037055499453231,-0.8505865457418867,-1.2968663964547835,-0.8659551749080873,-1.2464783849085574
2007-02-16,-0.0872161360529513,-0.8283974329303162,-1.264425360139273,-0.8439249340832051,-1.2154982050229288
2007-02-20,0.2840277783407165,-0.8117377251688529,-1.2398513775781106,-0.8251122427607769,-1.1897321522054953
2007-02-21,-0.1405437971554358,-0.7963258620076181,-1.2185593430010777,-0.8100722873614461,-1.1684039451252815
2007-02-22,-0.0857924353369557,-0.7830515885306729,-1.2005486992838146,-0.7966701531608783,-1.14884757946174
2007-02-23,-0.3570038956787483,-0.7696332720860036,-1.1827490338795317,-0.7830677923924849,-1.1289069879742817
2007-02-26,-0.1254893239734268,-0.7689563894013637,-1.1828871703505117,-0.7822376223911635,-1.1277486099761251
2007-02-27,-3.5342660843100724,-0.7548971382568178,-1.1627755019105668,-0.7686133158471617,-1.1079994915872282
2007-02-28,0.5545484952734019,-1.4775357621490943,-2.3780759971633874,-1.4249308685999331,-2.0318387994528835
